Stress (Pa),Specific Heat (J/(g·K))
13,8.53065279849195,0.83% Molybdenum disulfide
15,15.55500366673166,0.83% Molybdenum disulfide
18,13.142821386096397,0.83% Molybdenum disulfide
13,72.66734636413824,0.48% Molybdenum disulfide
15,-27.237343947778847,0.48% Molybdenum disulfide
18,165.98726697967027,0.48% Molybdenum disulfide
13,7.744783328794623,0.0% Molybdenum disulfide
15,8.461006430805762,0.0% Molybdenum disulfide
18,0.900977358546835,0.0% Molybdenum disulfide
13,-1.5454685950205453,0.77% Molybdenum disulfide
15,-1.555847358773819,0.77% Molybdenum disulfide
18,-1.5617275597677223,0.77% Molybdenum disulfide
