Volume Fraction (%),Degradation Temperature (°C)
0,-4.971054538701843,
1,-4.639741284510746,
11,-4.266301697935387,
12,-5.246449460931801,
14,-7.1077142046431065,
15,6.86021030599178,
0,4.851439767952579,
1,5.579919376984958,
11,36.91132087139778,
12,16.770380780667043,
14,110.43451581502987,
15,82.0859252348344,
0,4.428536300495825,
1,4.552742603863982,
11,10.746457961681545,
12,13.805827452571096,
14,-0.07492849838066284,
15,236.04915823606567,
0,5.263964861560771,
1,5.3035944102005494,
11,6.693077396938456,
12,7.044479413062605,
14,11.019134682971607,
15,2.6582525829775916,
