pH,Toughness (MJ/m³)
7,5.103592766624757,0.96% Fe2O3
8,5.8589420660167555,0.96% Fe2O3
9,4.025229949040077,0.96% Fe2O3
16,2.432991416160804,0.96% Fe2O3
19,26.249388705730645,0.96% Fe2O3
7,0.13791028122145815,0.07% Fe2O3
8,0.09505918409134786,0.07% Fe2O3
9,0.06663813112696736,0.07% Fe2O3
16,0.012346009823196271,0.07% Fe2O3
19,0.007338323320705854,0.07% Fe2O3
7,-6.148236173243276,0.63% Fe2O3
8,-6.213120607313029,0.63% Fe2O3
9,-6.299776109205386,0.63% Fe2O3
16,-6.472444974250592,0.63% Fe2O3
19,-6.539413867859308,0.63% Fe2O3
