Particle Density,Tensile Modulus (GPa)
0.3156243584724683,8.789178663582392,0.73% Methoxy(dimethyl)octylsilane
7.463787489920537,17.56864846939252,0.73% Methoxy(dimethyl)octylsilane
8.725043994485834,30.846634662123066,0.73% Methoxy(dimethyl)octylsilane
10.903983715001772,33.8737512877092,0.73% Methoxy(dimethyl)octylsilane
16.63043245354604,273.0323418009922,0.73% Methoxy(dimethyl)octylsilane
0.3156243584724683,0.7132516695205231,0.7% Methoxy(dimethyl)octylsilane
7.463787489920537,0.12815816399518298,0.7% Methoxy(dimethyl)octylsilane
8.725043994485834,1.1210811035473602,0.7% Methoxy(dimethyl)octylsilane
10.903983715001772,3.68036546910386,0.7% Methoxy(dimethyl)octylsilane
16.63043245354604,3.888330281439197,0.7% Methoxy(dimethyl)octylsilane
0.3156243584724683,1.6787840556243987,0.82% Methoxy(dimethyl)octylsilane
7.463787489920537,10.658654878773431,0.82% Methoxy(dimethyl)octylsilane
8.725043994485834,22.60182871801978,0.82% Methoxy(dimethyl)octylsilane
10.903983715001772,15.870555173308771,0.82% Methoxy(dimethyl)octylsilane
16.63043245354604,266.97757675667987,0.82% Methoxy(dimethyl)octylsilane
0.3156243584724683,-5.38129455285202,0.73% Methoxy(dimethyl)octylsilane
7.463787489920537,-6.114266644495301,0.73% Methoxy(dimethyl)octylsilane
8.725043994485834,-6.147342842607679,0.73% Methoxy(dimethyl)octylsilane
10.903983715001772,-6.179697616844921,0.73% Methoxy(dimethyl)octylsilane
16.63043245354604,-6.2080200543756465,0.73% Methoxy(dimethyl)octylsilane
0.3156243584724683,7.585092804493778,0.23% Methoxy(dimethyl)octylsilane
7.463787489920537,9.355108844856229,0.23% Methoxy(dimethyl)octylsilane
8.725043994485834,6.997288440914114,0.23% Methoxy(dimethyl)octylsilane
10.903983715001772,11.388733658510887,0.23% Methoxy(dimethyl)octylsilane
16.63043245354604,7.339595944782918,0.23% Methoxy(dimethyl)octylsilane
