Pressure (Pa),Electric Field Strength (V/m)
2.4604100972441723,-3.9915348563152593,E-SBR
13.4972571873735,-4.559672220057282,E-SBR
13.67411764153686,-4.589587395991223,E-SBR
15.3938600969099,-4.639250679525002,E-SBR
2.4604100972441723,2.451977304310551,Poly(butylene terephthalate)
13.4972571873735,7.860223090808283,Poly(butylene terephthalate)
13.67411764153686,2.5530392708908876,Poly(butylene terephthalate)
15.3938600969099,4.376011373806622,Poly(butylene terephthalate)
2.4604100972441723,-0.6095321243622271,Nylon 12
13.4972571873735,-1.2799599172023535,Nylon 12
13.67411764153686,-1.2592779621089223,Nylon 12
15.3938600969099,-1.2878597350990173,Nylon 12
2.4604100972441723,-2.9942792644393315,Nylon 8
13.4972571873735,54.37206879084056,Nylon 8
13.67411764153686,62.587624712344635,Nylon 8
15.3938600969099,20.140719745795618,Nylon 8
2.4604100972441723,7.849116135096676,PLA
13.4972571873735,7.289071780647704,PLA
13.67411764153686,7.289138624515882,PLA
15.3938600969099,7.281579791402757,PLA
