Softening Temperature (°C),Charge Transfer Resistance (Ω·m²)
4.426323317480456,-1.0579921466786164,Bentonite clay/PA 6(3)T
11.651949334910533,-1.3221786103019366,Bentonite clay/PA 6(3)T
15.39282258793191,-1.3449007184071937,Bentonite clay/PA 6(3)T
4.426323317480456,-2.070798444180278,CaCO3/PA 6(3)T
11.651949334910533,-2.303864708581401,CaCO3/PA 6(3)T
15.39282258793191,-2.322323953849107,CaCO3/PA 6(3)T
4.426323317480456,7.5221869217455986,SAF/PA 6(3)T
11.651949334910533,52.060495419907696,SAF/PA 6(3)T
15.39282258793191,137.2820055951553,SAF/PA 6(3)T
4.426323317480456,1.5629657178616316,Aluminium/PA 6(3)T
11.651949334910533,1.2685256213806129,Aluminium/PA 6(3)T
15.39282258793191,1.2482193561271953,Aluminium/PA 6(3)T
