Heat Treatment Time (h),Peel Strength (N/m)
0,7.2214955788707,Poly(vinylidene fluoride)
1,7.009404991829754,Poly(vinylidene fluoride)
2,6.810463959854503,Poly(vinylidene fluoride)
6,6.451961342837517,Poly(vinylidene fluoride)
7,6.4198295677380735,Poly(vinylidene fluoride)
12,6.307754114525847,Poly(vinylidene fluoride)
15,6.29143589105643,Poly(vinylidene fluoride)
0,-1.714206837173197,Poly(tetrafluoroethylene)
1,-1.7453600799355957,Poly(tetrafluoroethylene)
2,-1.9911171430541272,Poly(tetrafluoroethylene)
6,-2.05295296480655,Poly(tetrafluoroethylene)
7,-2.1473085378687826,Poly(tetrafluoroethylene)
12,-2.3767495113665413,Poly(tetrafluoroethylene)
15,-2.432619443724356,Poly(tetrafluoroethylene)
