Annealing Temperature (°C),Adhesion Strength (MPa)
16.685184793543282,375.50666082442046,9-Anthracenemethanol/PBAT
16.73492647843392,152.87342099472562,9-Anthracenemethanol/PBAT
18.732734098857005,103.44410912232921,9-Anthracenemethanol/PBAT
16.685184793543282,-269.8103298734067,Graphite Nanoplatelets/PBAT
16.73492647843392,-105.14174315844151,Graphite Nanoplatelets/PBAT
18.732734098857005,377.8995299152651,Graphite Nanoplatelets/PBAT
16.685184793543282,482.807779994536,SiO2/PBAT
16.73492647843392,129.1247545407835,SiO2/PBAT
18.732734098857005,462.96026046327796,SiO2/PBAT
16.685184793543282,-0.4238881437891787,MWCNTs/PBAT
16.73492647843392,-0.41285630329810313,MWCNTs/PBAT
18.732734098857005,-0.44545379068102453,MWCNTs/PBAT
16.685184793543282,-4.034193806658578,CCTO/PBAT
16.73492647843392,-4.0063616648190035,CCTO/PBAT
18.732734098857005,-4.046028159662383,CCTO/PBAT
