Nanoparticle Mass (%),Complex Viscosity (Pa·s)
13,0.6914893395872732,Na2TiO3/COC
14,0.6851717409539911,Na2TiO3/COC
18,0.6740326459066985,Na2TiO3/COC
13,7.097178860953498,montmorillonite K-10/COC
14,7.054273545013737,montmorillonite K-10/COC
18,6.979982662010273,montmorillonite K-10/COC
13,4.328077603189294,PVA/COC
14,4.319432588752783,PVA/COC
18,4.310596228188633,PVA/COC
13,50.915744112481136,magnesium oxide/COC
14,21.78641396330002,magnesium oxide/COC
18,291.7871350706463,magnesium oxide/COC
13,6.184403077137966,FeO/COC
14,6.178529129209278,FeO/COC
18,6.168181860021518,FeO/COC
