Crosslinking Density (mol/m³),Permittivity
8.868546313570896,-1.7866487002778815,SiO2/P2VP
15.030213271098793,-1.9162766264355982,SiO2/P2VP
18.608016908540154,-1.967098476082313,SiO2/P2VP
8.868546313570896,5.683640689408766,CaCO3/P2VP
15.030213271098793,5.488116932907851,CaCO3/P2VP
18.608016908540154,5.438546727304259,CaCO3/P2VP
8.868546313570896,0.0783136766730963,OMLS/P2VP
15.030213271098793,-0.13474890309482215,OMLS/P2VP
18.608016908540154,-0.18708134636805585,OMLS/P2VP
8.868546313570896,14.058312456272596,CCTO/P2VP
15.030213271098793,121.18335364884184,CCTO/P2VP
18.608016908540154,109.25047282995048,CCTO/P2VP
8.868546313570896,-4.9168559097869045,Lead(II) sulfide/P2VP
15.030213271098793,-5.133293435080551,Lead(II) sulfide/P2VP
18.608016908540154,-5.1894163312598325,Lead(II) sulfide/P2VP
