Loading Concentration (%),Polarization Resistance (Ω·m²)
4,-2.606343212321258,PTrFE
7,-2.777486921153148,PTrFE
12,42.48687975881034,PTrFE
16,-84.82705046346678,PTrFE
18,141.434816583199,PTrFE
4,5.17260408986481,Unsaturated polyester resin
7,4.972460515651593,Unsaturated polyester resin
12,4.8657794657500055,Unsaturated polyester resin
16,4.84677074276271,Unsaturated polyester resin
18,4.842803575259704,Unsaturated polyester resin
4,-6.096357915849209,PMMA-PnBA-PMMA
7,-6.29874868633891,PMMA-PnBA-PMMA
12,-6.398340421453964,PMMA-PnBA-PMMA
16,-6.418609414078608,PMMA-PnBA-PMMA
18,-6.423312690076246,PMMA-PnBA-PMMA
