wt% (%),Reduction Potential (V)
7.924292925736434,14.218905363805668,Gold/Poly(vinyl butyral)
10.962546535228626,19.38619472069866,Gold/Poly(vinyl butyral)
13.923347974506758,74.16094744273374,Gold/Poly(vinyl butyral)
15.844835276589,160.70142903943383,Gold/Poly(vinyl butyral)
7.924292925736434,-4.057365251456343,silver hexafluoroantimonate/Poly(vinyl butyral)
10.962546535228626,-4.093863414169795,silver hexafluoroantimonate/Poly(vinyl butyral)
13.923347974506758,-4.114392643877605,silver hexafluoroantimonate/Poly(vinyl butyral)
15.844835276589,-4.122669792365148,silver hexafluoroantimonate/Poly(vinyl butyral)
7.924292925736434,1.2494110814442259,FeO/Poly(vinyl butyral)
10.962546535228626,1.167439599768341,FeO/Poly(vinyl butyral)
13.923347974506758,1.1482803949242024,FeO/Poly(vinyl butyral)
15.844835276589,1.1413507918508068,FeO/Poly(vinyl butyral)
7.924292925736434,9.09107477453017,BaTiO3/Poly(vinyl butyral)
10.962546535228626,12.481514876785775,BaTiO3/Poly(vinyl butyral)
13.923347974506758,9.173735930622753,BaTiO3/Poly(vinyl butyral)
15.844835276589,11.065868904617075,BaTiO3/Poly(vinyl butyral)
7.924292925736434,-3.8547399783169483,CaCO3/Poly(vinyl butyral)
10.962546535228626,-3.9736902745911777,CaCO3/Poly(vinyl butyral)
13.923347974506758,-4.0410423149966865,CaCO3/Poly(vinyl butyral)
15.844835276589,-4.07317649108207,CaCO3/Poly(vinyl butyral)
