Dispersing Time (min),Passivation Current Density (A/m²)
0,3.173188539203884,single-walled CNTs/PVDF
13,12.817767033960127,single-walled CNTs/PVDF
14,8.681473436367282,single-walled CNTs/PVDF
17,7.642431729662307,single-walled CNTs/PVDF
18,15.154764560219819,single-walled CNTs/PVDF
0,-6.959962304830139,Triphenyl phosphate/PVDF
13,-3.7079214156166866,Triphenyl phosphate/PVDF
14,-7.918372290213048,Triphenyl phosphate/PVDF
17,-15.304146720408875,Triphenyl phosphate/PVDF
18,11.556982973364875,Triphenyl phosphate/PVDF
0,-3.259837773617521,Multi-wall carbon nanotubes/PVDF
13,-0.21665148321982652,Multi-wall carbon nanotubes/PVDF
14,-6.184429621459424,Multi-wall carbon nanotubes/PVDF
17,-6.101490253834872,Multi-wall carbon nanotubes/PVDF
18,-0.7328526547196317,Multi-wall carbon nanotubes/PVDF
0,4.573842675528697,Graphite oxide/PVDF
13,3.6992854856342703,Graphite oxide/PVDF
14,3.6259552196379023,Graphite oxide/PVDF
17,3.5686720032079644,Graphite oxide/PVDF
18,3.559863161614965,Graphite oxide/PVDF
0,-6.575562614060977,multi-walled CNT/PVDF
13,-7.694201106689381,multi-walled CNT/PVDF
14,-7.699887022594836,multi-walled CNT/PVDF
17,-7.709013366238178,multi-walled CNT/PVDF
18,-7.71074891551813,multi-walled CNT/PVDF
