Heat Treatment Temperature (°C),Pore Size (nm)
2,-3.7344769010628927,DGEBA Epoxy Resin
4,-3.106015647897053,DGEBA Epoxy Resin
10,-1.2562054387435566,DGEBA Epoxy Resin
16,3.7158071094998792,DGEBA Epoxy Resin
18,-6.128138088674632,DGEBA Epoxy Resin
2,3.030991746764971,PU
4,3.9141218766311323,PU
10,15.465817559023998,PU
16,107.25240676095626,PU
18,255.17759436702758,PU
2,5.914479953360461,Polybenzimidazole
4,5.781535368036185,Polybenzimidazole
10,5.482961430067148,Polybenzimidazole
16,5.439904508551668,Polybenzimidazole
18,5.435850906616941,Polybenzimidazole
2,-4.460076094588146,Poly(vinyl butyral)
4,-4.4443487532419095,Poly(vinyl butyral)
10,-0.7530362671915256,Poly(vinyl butyral)
16,-10.28843975270756,Poly(vinyl butyral)
18,10.636873312805552,Poly(vinyl butyral)
2,-5.071601566945262,Poly(ether ether ketone)
4,-1.3355059699416145,Poly(ether ether ketone)
10,-5.370361964776043,Poly(ether ether ketone)
16,120.1335835136593,Poly(ether ether ketone)
18,162.14694112245024,Poly(ether ether ketone)
