Loading Concentration (%),Fatigue Strength (MPa)
3.526161790734934,1.7580668776869395,PB-1
5.703289759047134,1.6493228713699424,PB-1
5.718267540656341,1.5803593685294632,PB-1
12.526967323548801,1.4765448932686214,PB-1
12.958790081134811,1.4755776254441417,PB-1
16.326169928328667,1.460322705090304,PB-1
2.526555272112052,-5.304630013589166,P2VP
2.7676064470497463,-5.29875780175662,P2VP
7.114104075992893,-5.5566287857165495,P2VP
15.79631619437656,-5.656976346109868,P2VP
17.351267388757428,-5.6609223908294934,P2VP
19.570544332436015,-5.663219567632865,P2VP
4,2.230740721397193,Sodium polyacrylate
9,1.9189174012508092,Sodium polyacrylate
11,1.889988375845263,Sodium polyacrylate
12,1.8691670022770634,Sodium polyacrylate
13,1.8351629060759984,Sodium polyacrylate
19,1.7107183662623882,Sodium polyacrylate
4,8.141459698002356,P4VP
5,8.136599809720671,P4VP
10,7.869844370893266,P4VP
17,7.668034366509064,P4VP
18,7.650657836429155,P4VP
19,7.642517841760999,P4VP
0,3.600072188464736,DGEBF
5,4.046832934754873,DGEBF
6,5.06414718809703,DGEBF
7,4.601883546963825,DGEBF
11,3.3652970688426667,DGEBF
15,4.0342631106501,DGEBF
