Particle Size (nm),Thermal Expansion (1/K)
6.2079414805310895,-2.6166030654949592,Poly(ether ether ketone)
6.693805077509348,-1.2681521007668102,Poly(ether ether ketone)
8.212903885594315,-2.946586266231063,Poly(ether ether ketone)
14.356235921030105,-1.938102139006718,Poly(ether ether ketone)
15.725334886174313,2.976781168987646,Poly(ether ether ketone)
17.95573431509926,18.832995331716653,Poly(ether ether ketone)
6.2079414805310895,-2.7885618973679938,ABS
6.693805077509348,-2.668479439678305,ABS
8.212903885594315,-2.7738768203752575,ABS
14.356235921030105,-2.976061578090819,ABS
15.725334886174313,-3.0086642432979693,ABS
17.95573431509926,-3.051011007562137,ABS
6.2079414805310895,8.058641219193337,EPDM rubber
6.693805077509348,8.02051080440312,EPDM rubber
8.212903885594315,7.880284559138953,EPDM rubber
14.356235921030105,7.6971057814259325,EPDM rubber
15.725334886174313,7.67829460453331,EPDM rubber
17.95573431509926,7.621979735399364,EPDM rubber
