Pore Volume (cm³/g),Heat Of Crystallization (J/g)
4.030384924456771,-0.21228811353060228,PEG
13.710353510161315,7.228643692525919,PEG
16.02926947211208,2.7052627352779806,PEG
18.345295106946754,10.74734463213415,PEG
4.030384924456771,3.5139197541470724,PVB
13.710353510161315,3.1985304343865013,PVB
16.02926947211208,3.190842037869978,PVB
18.345295106946754,3.185820609362617,PVB
4.030384924456771,-6.512527810619945,Polyurethane
13.710353510161315,32.94969253243542,Polyurethane
16.02926947211208,53.021648899838794,Polyurethane
18.345295106946754,142.56679847481374,Polyurethane
