Crystallinity (%),Dielectric Loss
2.404014535657917,1.2347100199492727,0.3% MoS2/Poly(BA-a)
8.12808418666373,9.59397801609824,0.3% MoS2/Poly(BA-a)
10.755013903010846,41.169882250838896,0.3% MoS2/Poly(BA-a)
13.402038446411106,54.90384194826659,0.3% MoS2/Poly(BA-a)
14.077779370701418,0.27534655705292366,0.3% MoS2/Poly(BA-a)
2.404014535657917,-4.049638983914195,0.16% MoS2/Poly(BA-a)
8.12808418666373,-4.46314396722309,0.16% MoS2/Poly(BA-a)
10.755013903010846,-4.515097874146789,0.16% MoS2/Poly(BA-a)
13.402038446411106,-4.5341663607531615,0.16% MoS2/Poly(BA-a)
14.077779370701418,-4.538802469257914,0.16% MoS2/Poly(BA-a)
2.404014535657917,-3.7560317667813488,0.69% MoS2/Poly(BA-a)
8.12808418666373,-4.512241584328774,0.69% MoS2/Poly(BA-a)
10.755013903010846,-1.256673052821712,0.69% MoS2/Poly(BA-a)
13.402038446411106,-3.2870024036712837,0.69% MoS2/Poly(BA-a)
14.077779370701418,3.3276343624424154,0.69% MoS2/Poly(BA-a)
