Particle Diameter (nm),Impact Strength (kJ/m²)
0.17592261688504918,7.169286299248946,COC
0.9934290443318017,6.961755051397208,COC
6.153507225558408,6.559377145522829,COC
10.156708923316888,6.426493568484893,COC
15.28550742540464,6.303515838369522,COC
0.17592261688504918,-1.3836680458380848,iPP
0.9934290443318017,-1.235484513808395,iPP
6.153507225558408,-1.809928961209606,iPP
10.156708923316888,-1.913748615156708,iPP
15.28550742540464,-1.9505518933487902,iPP
0.17592261688504918,-0.1584677897164921,Polyurethane
0.9934290443318017,-0.34129247612368707,Polyurethane
6.153507225558408,-0.8786310680284253,Polyurethane
10.156708923316888,-1.0779568394143215,Polyurethane
15.28550742540464,-1.2523406877196273,Polyurethane
