Stress (Pa),Magnetoresistance
3.391873094335651,3.848184312222037,Cellulose/PB-1
8.488872729355885,22.613054334909176,Cellulose/PB-1
13.9744131538122,-14.938302323475202,Cellulose/PB-1
14.213688766770662,-17.624936643780206,Cellulose/PB-1
14.690008327019166,77.5457953004079,Cellulose/PB-1
15.343116538249458,60.05348270426842,Cellulose/PB-1
0,7.1122384963757375,clay/PB-1
6,7.077341912914801,clay/PB-1
13,6.814241251179246,clay/PB-1
14,6.79809897670557,clay/PB-1
18,6.707365933202179,clay/PB-1
19,6.691097158534721,clay/PB-1
8.072224313831795,-5.389260410643544,9-Anthracenemethanol/PB-1
10.132274021622806,-5.177071571861328,9-Anthracenemethanol/PB-1
10.416109145279169,-6.702213028991697,9-Anthracenemethanol/PB-1
17.770580541995695,-0.16364462979755423,9-Anthracenemethanol/PB-1
18.22121990441769,-10.784622628074736,9-Anthracenemethanol/PB-1
18.731270803842918,-7.081427268996667,9-Anthracenemethanol/PB-1
5,6.2152358135826375,Al2O3/PB-1
9,6.108369111804974,Al2O3/PB-1
12,5.984935326651657,Al2O3/PB-1
13,5.929770514841485,Al2O3/PB-1
15,5.880059961221897,Al2O3/PB-1
19,5.809696574427288,Al2O3/PB-1
1.6711771365482586,1.7976930401711395,Paraffin oil/PB-1
4.43946738325391,1.650423151404841,Paraffin oil/PB-1
11.124130762238337,1.3229487459077292,Paraffin oil/PB-1
15.309435593522018,1.216241464843235,Paraffin oil/PB-1
15.336217867197163,1.2258587497775593,Paraffin oil/PB-1
19.98685221959247,1.1419199063559433,Paraffin oil/PB-1
