wt% (%),Coercivity (A/m)
10,8.470947824488874,Graphene/Polystyrene
14,3.582688005310364,Graphene/Polystyrene
15,11.264902766548373,Graphene/Polystyrene
10,2.211829514500866,graphene nanoplatelets/Polystyrene
14,2.087224411292745,graphene nanoplatelets/Polystyrene
15,2.0560115009434305,graphene nanoplatelets/Polystyrene
10,18.277315306526866,PAN/Polystyrene
14,67.42615253448753,PAN/Polystyrene
15,165.89489780129153,PAN/Polystyrene
10,5.97566802457697,Carbon nanofibers/Polystyrene
14,5.861747383806508,Carbon nanofibers/Polystyrene
15,5.8310845795834165,Carbon nanofibers/Polystyrene
