Polymer Molecular Weight (g/mol),Magnetic Permeability (H/m)
13.05996726757775,1.929040771035222,0.58% OAPS/P4VP
15.909912285761985,75.89376559572317,0.58% OAPS/P4VP
17.550762275793463,-77.59948001282245,0.58% OAPS/P4VP
13.05996726757775,6.960551955256323,0.91% OAPS/P4VP
15.909912285761985,6.950098812601038,0.91% OAPS/P4VP
17.550762275793463,6.947053955904351,0.91% OAPS/P4VP
13.05996726757775,7.915699840416141,0.44% OAPS/P4VP
15.909912285761985,2.0983043311265384,0.44% OAPS/P4VP
17.550762275793463,12.22497969319159,0.44% OAPS/P4VP
13.05996726757775,9.678782095065198,0.89% OAPS/P4VP
15.909912285761985,10.27393338200002,0.89% OAPS/P4VP
17.550762275793463,10.946386028220823,0.89% OAPS/P4VP
13.05996726757775,6.227269312019416,0.33% OAPS/P4VP
15.909912285761985,6.214840769078477,0.33% OAPS/P4VP
17.550762275793463,6.212158884854614,0.33% OAPS/P4VP
