Storage Time (days),Pore Volume (cm³/g)
2.831085634867103,6.522686451825284,0.86% dodecylbenzene sulfonic acid/PHFP
6.052102854529286,6.431605443437329,0.86% dodecylbenzene sulfonic acid/PHFP
17.08949513660115,6.051645190086404,0.86% dodecylbenzene sulfonic acid/PHFP
18.42427091636977,6.037243183709856,0.86% dodecylbenzene sulfonic acid/PHFP
18.761733173764426,6.0242585006233424,0.86% dodecylbenzene sulfonic acid/PHFP
2.831085634867103,-5.291469178771576,0.01% dodecylbenzene sulfonic acid/PHFP
6.052102854529286,-2.85479539910047,0.01% dodecylbenzene sulfonic acid/PHFP
17.08949513660115,384.06403416051563,0.01% dodecylbenzene sulfonic acid/PHFP
18.42427091636977,123.3993795006446,0.01% dodecylbenzene sulfonic acid/PHFP
18.761733173764426,331.7387201637975,0.01% dodecylbenzene sulfonic acid/PHFP
2.831085634867103,-5.390737724280777,0.91% dodecylbenzene sulfonic acid/PHFP
6.052102854529286,-5.441871899428783,0.91% dodecylbenzene sulfonic acid/PHFP
17.08949513660115,-5.824603505663453,0.91% dodecylbenzene sulfonic acid/PHFP
18.42427091636977,-5.856147629153064,0.91% dodecylbenzene sulfonic acid/PHFP
18.761733173764426,-5.867919540075973,0.91% dodecylbenzene sulfonic acid/PHFP
2.831085634867103,-5.083868091061772,0.84% dodecylbenzene sulfonic acid/PHFP
6.052102854529286,-0.7819611069631165,0.84% dodecylbenzene sulfonic acid/PHFP
17.08949513660115,127.80355126563134,0.84% dodecylbenzene sulfonic acid/PHFP
18.42427091636977,1151.2283557801327,0.84% dodecylbenzene sulfonic acid/PHFP
18.761733173764426,353.834471290641,0.84% dodecylbenzene sulfonic acid/PHFP
2.831085634867103,-2.4054923218321966,0.78% dodecylbenzene sulfonic acid/PHFP
6.052102854529286,-2.712194676392768,0.78% dodecylbenzene sulfonic acid/PHFP
17.08949513660115,-2.8922560353099835,0.78% dodecylbenzene sulfonic acid/PHFP
18.42427091636977,-2.893940664233181,0.78% dodecylbenzene sulfonic acid/PHFP
18.761733173764426,-2.8943026927220608,0.78% dodecylbenzene sulfonic acid/PHFP
