Rotational Speed (rpm),Specific Viscosity
1.4616877602077816,-2.162535624230079,multi-walled carbon nanotube/Nylon 6
2.253717429752715,-2.5928920370111164,multi-walled carbon nanotube/Nylon 6
10.956886422567027,2.4505348745145614,multi-walled carbon nanotube/Nylon 6
16.42385808905597,1.467937240063983,multi-walled carbon nanotube/Nylon 6
17.3467087779091,-3.0846339288874223,multi-walled carbon nanotube/Nylon 6
18.64852482426923,-8.861036453284981,multi-walled carbon nanotube/Nylon 6
0,2.688580635493877,barium titanate/Nylon 6
2,4.536258600267739,barium titanate/Nylon 6
6,13.046784963591225,barium titanate/Nylon 6
8,5.915231558870838,barium titanate/Nylon 6
12,61.973506870173445,barium titanate/Nylon 6
13,-18.245078172398316,barium titanate/Nylon 6
1.7708655925476369,-5.455805914747521,SWNT/Nylon 6
3.9578196569432245,-5.563305259845984,SWNT/Nylon 6
8.712508440869902,-5.749756464207324,SWNT/Nylon 6
10.39076353599681,-5.802234694176879,SWNT/Nylon 6
11.139980256340225,-5.856352050183864,SWNT/Nylon 6
11.755003370072805,-5.84655761159053,SWNT/Nylon 6
1.2158511745563128,-1.2063227127403382,Silicon dioxide/Nylon 6
12.60771703413922,60.8050704404918,Silicon dioxide/Nylon 6
13.203621813375268,72.99091887019429,Silicon dioxide/Nylon 6
13.747925736130671,170.0301729041385,Silicon dioxide/Nylon 6
14.180794345275412,-9.381006840900804,Silicon dioxide/Nylon 6
19.250532829399283,-292.6549447153699,Silicon dioxide/Nylon 6
