Incubation Time (h),Compressive Modulus (GPa)
8.207011310410122,-4.10655539156077,sodium montmorillonite/PANa
11.82695295865048,-4.162853682383239,sodium montmorillonite/PANa
14.9169705517928,-4.183051763619221,sodium montmorillonite/PANa
8.207011310410122,4.723005112889702,Buckminsterfullerene/PANa
11.82695295865048,8.171986076897774,Buckminsterfullerene/PANa
14.9169705517928,4.321564910014193,Buckminsterfullerene/PANa
8.207011310410122,3.0705461357022754,SWCNTs/PANa
11.82695295865048,2.9653000026992857,SWCNTs/PANa
14.9169705517928,2.877211515849893,SWCNTs/PANa
8.207011310410122,5.72495969798309,SWCNT/PANa
11.82695295865048,5.682293810028043,SWCNT/PANa
14.9169705517928,5.579721859169573,SWCNT/PANa
8.207011310410122,15.930420023616762,Zinc Oxide/PANa
11.82695295865048,22.136679763002746,Zinc Oxide/PANa
14.9169705517928,213.4206207090535,Zinc Oxide/PANa
