Melting Temperature (°C),Reduction Potential (V)
0.7022528110914394,2.031727513336632,0.69% Aluminium/PnBA
10.995229667870614,42.113517859881384,0.69% Aluminium/PnBA
12.692673300377974,-13.65785600121109,0.69% Aluminium/PnBA
14.684109090414575,7.800646654608224,0.14% Aluminium/PnBA
18.525872457942587,16.898272918330346,0.14% Aluminium/PnBA
18.653740067556235,15.051289225813212,0.14% Aluminium/PnBA
3,1.6864859940200259,0.91% Aluminium/PnBA
15,1.2717884235820396,0.91% Aluminium/PnBA
17,1.2162316749721258,0.91% Aluminium/PnBA
10.156185668109146,-5.085739946996004,0.8% Aluminium/PnBA
13.842697476269848,-5.227584700000186,0.8% Aluminium/PnBA
18.555875579373293,-5.331404966099935,0.8% Aluminium/PnBA
