Frequency (Hz),Dielectric Loss
7.127973039736051,-3.299038639630714,Carbon black/Polyimide
8.285018262048776,-3.3466914193048334,Carbon black/Polyimide
13.777910981439707,-3.418559878752973,Carbon black/Polyimide
16.20955380240769,-3.4276097978110647,Carbon black/Polyimide
19.96448827728057,-3.432872954858986,Carbon black/Polyimide
7.127973039736051,-3.9991954934001903,graphene nanoribbon/Polyimide
8.285018262048776,-4.513295504063169,graphene nanoribbon/Polyimide
13.777910981439707,-2.626885004342136,graphene nanoribbon/Polyimide
16.20955380240769,3.057920295293197,graphene nanoribbon/Polyimide
19.96448827728057,2.920431573927935,graphene nanoribbon/Polyimide
