Drying Time (h),Toughness (MJ/m³)
7,2.9409349670364655,Thermal black/PANa
15,2.7334727008733783,Thermal black/PANa
16,2.701703000518504,Thermal black/PANa
6,1.5242121161044127,Barium strontium titanate/PANa
9,1.4448527173444428,Barium strontium titanate/PANa
15,1.3876038389856558,Barium strontium titanate/PANa
1.572931427722588,2.2980819310978635,graphite/PANa
9.981839270545677,5.914527896466783,graphite/PANa
10.15191042152464,0.6673436912483615,graphite/PANa
5,0.8371261238519762,Silicon dioxide/PANa
11,0.5591210196496953,Silicon dioxide/PANa
14,0.43670292920464227,Silicon dioxide/PANa
