Softening Temperature (°C),Surface Area (m²/g)
5.307448808980477,-1.9430055647505045,graphite nanoplates/Nylon 6T
8.498596861830588,8.483628188140285,graphite nanoplates/Nylon 6T
13.458537354248651,101.91396161951039,graphite nanoplates/Nylon 6T
15.128827215474391,65.4020710286464,graphite nanoplates/Nylon 6T
5.307448808980477,-3.837851711183707,Furnace black/Nylon 6T
8.498596861830588,-4.04022970043671,Furnace black/Nylon 6T
13.458537354248651,-4.225118327335073,Furnace black/Nylon 6T
15.128827215474391,-4.287461364472809,Furnace black/Nylon 6T
5.307448808980477,3.9078416546549466,Paraffinum liquidum/Nylon 6T
8.498596861830588,18.11849756236633,Paraffinum liquidum/Nylon 6T
13.458537354248651,70.23074608223092,Paraffinum liquidum/Nylon 6T
15.128827215474391,88.09958008382155,Paraffinum liquidum/Nylon 6T
5.307448808980477,7.776070146115866,Carbon black/Nylon 6T
8.498596861830588,7.667076687825291,Carbon black/Nylon 6T
13.458537354248651,7.607112469966478,Carbon black/Nylon 6T
15.128827215474391,7.599645820012475,Carbon black/Nylon 6T
