Particle Diameter (nm),Thermal Resistance (K/W)
1,7.555727534803747,S-SBR
5,7.107690000539499,S-SBR
15,6.916249242334907,S-SBR
16,6.913258995418572,S-SBR
18,6.9095451837905895,S-SBR
1,-3.6514581937919672,PCL
5,-4.191401193500617,PCL
15,-4.399692232990874,PCL
16,-4.402269594083055,PCL
18,-4.405556235855588,PCL
1,1.2002417572819422,CAB
5,1.9865451571641322,CAB
15,8.070777664875553,CAB
16,-1.6852391003424128,CAB
18,-1.4691388579804485,CAB
1,-0.6029518772426405,PMS
5,-0.9391923878881971,PMS
15,7.153746527523948,PMS
16,-0.09233923313132708,PMS
18,12.778342932687389,PMS
