Thermal Conductivity (W/(m·K)),Dielectric Loss
8,5.032663284391604,Nylon 6
9,5.053171460876319,Nylon 6
10,5.011722684483898,Nylon 6
11,5.027757244459513,Nylon 6
14,4.9219040933429135,Nylon 6
8,-3.1948161281087732,Poly(bisphenol A carbonate)
9,-3.336946930294352,Poly(bisphenol A carbonate)
10,-3.3375823471478454,Poly(bisphenol A carbonate)
11,-3.3620491666226417,Poly(bisphenol A carbonate)
14,-3.4478101074399476,Poly(bisphenol A carbonate)
8,3.857907175514188,PEKK
9,4.491486217170152,PEKK
10,6.77998843456286,PEKK
11,5.053150180622855,PEKK
14,12.614338847089668,PEKK
