EV (V),Compression Strength (MPa)
3.2886278179296724,-1.779666403352822,Furnace black/PA 11
4.992518692865882,-0.5782021702445119,Furnace black/PA 11
8.227612622695267,11.442867798519794,Furnace black/PA 11
3.2886278179296724,4.535988700755638,SAF/PA 11
4.992518692865882,4.425495149084116,SAF/PA 11
8.227612622695267,4.163586844472655,SAF/PA 11
3.2886278179296724,-2.3975783220809763,single-walled CNT/PA 11
4.992518692865882,-1.1751179965605818,single-walled CNT/PA 11
8.227612622695267,-1.9774047481733503,single-walled CNT/PA 11
3.2886278179296724,-3.233649697023878,"Iron (II,III) Oxide/PA 11"
4.992518692865882,-3.400040999578313,"Iron (II,III) Oxide/PA 11"
8.227612622695267,-3.5471196253758457,"Iron (II,III) Oxide/PA 11"
