Calcination Temperature (°C),Porosity (%)
2,7.322178453027025,0.07% titanium dioxide/EPDM
4,7.548114215284028,0.07% titanium dioxide/EPDM
16,6.9931973333991175,0.07% titanium dioxide/EPDM
1.4593475961296276,-4.600824064892321,0.68% titanium dioxide/EPDM
14.362924169147162,-5.138773800865593,0.68% titanium dioxide/EPDM
14.985974816102129,-5.140793559451363,0.68% titanium dioxide/EPDM
1,4.169499738298312,0.77% titanium dioxide/EPDM
9,21.22152535394659,0.77% titanium dioxide/EPDM
12,22.835113704710697,0.77% titanium dioxide/EPDM
4.460134319394844,1.8908531178104098,0.0% titanium dioxide/EPDM
9.284239041189714,2.600667050629666,0.0% titanium dioxide/EPDM
14.850435428830979,-3.6302568560989608,0.0% titanium dioxide/EPDM
