Thermal Diffusivity (mm²/s),Heat Of Fusion (J/g)
2.1017136222154953,6.811077409713074,0.98% Calcium carbonate/Poly(caprolactone)
2.216263033997854,6.8845045126493964,0.98% Calcium carbonate/Poly(caprolactone)
2.4524088296623425,6.837657703321261,0.98% Calcium carbonate/Poly(caprolactone)
19.0358007483822,6.110086649650953,0.98% Calcium carbonate/Poly(caprolactone)
2.1017136222154953,-3.0170079961002125,0.04% Calcium carbonate/Poly(caprolactone)
2.216263033997854,-3.1986394706028873,0.04% Calcium carbonate/Poly(caprolactone)
2.4524088296623425,-3.0377206365724336,0.04% Calcium carbonate/Poly(caprolactone)
19.0358007483822,-3.6363203144299034,0.04% Calcium carbonate/Poly(caprolactone)
2.1017136222154953,3.6266627499023194,0.85% Calcium carbonate/Poly(caprolactone)
2.216263033997854,3.6169050024145784,0.85% Calcium carbonate/Poly(caprolactone)
2.4524088296623425,3.7152401570121527,0.85% Calcium carbonate/Poly(caprolactone)
19.0358007483822,3.0539607570569802,0.85% Calcium carbonate/Poly(caprolactone)
