Particle Diameter (nm),Heat Of Crystallization (J/g)
1.300124403125924,2.8000926171230605,0.5% CCTO/DGEBA Epoxy Resin
2.101727364795991,3.0539452938174607,0.5% CCTO/DGEBA Epoxy Resin
2.8334718922402047,3.3835556759384797,0.5% CCTO/DGEBA Epoxy Resin
4.386816889207433,6.086396931608481,0.5% CCTO/DGEBA Epoxy Resin
6.11128600929709,8.270842121151894,0.5% CCTO/DGEBA Epoxy Resin
1.300124403125924,0.1636570992717583,0.53% CCTO/DGEBA Epoxy Resin
2.101727364795991,0.49753319471418567,0.53% CCTO/DGEBA Epoxy Resin
2.8334718922402047,1.0403995589378003,0.53% CCTO/DGEBA Epoxy Resin
4.386816889207433,3.060344324652358,0.53% CCTO/DGEBA Epoxy Resin
6.11128600929709,6.396385983538157,0.53% CCTO/DGEBA Epoxy Resin
