Particle Diameter (nm),Specific Viscosity
0.6791763327238831,0.5084072251466345,PVA/PR
7.743067703287534,1.246083155050898,PVA/PR
10.402082869545286,-0.23642673175183937,PVA/PR
16.57692250921102,3.484466467475409,PVA/PR
0.6791763327238831,7.49748675419181,Graphene oxide/PR
7.743067703287534,9.24832609502789,Graphene oxide/PR
10.402082869545286,7.65150888317083,Graphene oxide/PR
16.57692250921102,-0.3984467134354457,Graphene oxide/PR
0.6791763327238831,5.264944074572227,Clay/PR
7.743067703287534,5.44211389647613,Clay/PR
10.402082869545286,8.589700096438742,Clay/PR
16.57692250921102,6.647207541297188,Clay/PR
