Film Thickness (µm),Shear Viscosity (Pa·s)
1.7870128697634113,7.970797968572239,0.25% calcium carbonate
3.780718150866671,7.666080584048535,0.25% calcium carbonate
9.280596004078472,7.491221683551831,0.25% calcium carbonate
9.497423841024272,7.528498465531209,0.25% calcium carbonate
1.7870128697634113,1.0098888549077567,0.81% calcium carbonate
3.780718150866671,0.7426425908377128,0.81% calcium carbonate
9.280596004078472,0.44012117118178684,0.81% calcium carbonate
9.497423841024272,0.46790313322661514,0.81% calcium carbonate
1.7870128697634113,-4.280973209357895,0.82% calcium carbonate
3.780718150866671,-4.260933923641896,0.82% calcium carbonate
9.280596004078472,-3.858411306014357,0.82% calcium carbonate
9.497423841024272,-2.0960959396371504,0.82% calcium carbonate
