Dielectric Loss,Fracture Toughness (MPa·m^0.5)
12,-1.623722636255461,Mineral oil/PMMA
15,0.4066340261666017,Mineral oil/PMMA
18,-0.9392112644313522,Mineral oil/PMMA
12,-7.9305832857480265,cellulose nanocrystals/PMMA
15,-7.946977353195885,cellulose nanocrystals/PMMA
18,-7.953129233114938,cellulose nanocrystals/PMMA
12,52.1091474589004,Acetylene black/PMMA
15,38.68298339972929,Acetylene black/PMMA
18,699.1895761844343,Acetylene black/PMMA
12,3.9738033690675403,Titanate nanotubes/PMMA
15,3.957768375649754,Titanate nanotubes/PMMA
18,3.9513725027816338,Titanate nanotubes/PMMA
