Thermal Diffusivity (mm²/s),Melting Temperature (°C)
2,4.315055690706964,0.3% graphite/EPDM rubber
7,3.9213640557981106,0.3% graphite/EPDM rubber
11,3.834375633998414,0.3% graphite/EPDM rubber
12,3.8236683275599597,0.3% graphite/EPDM rubber
18,3.8022698306916087,0.3% graphite/EPDM rubber
2,2.1068361903559905,0.34% graphite/EPDM rubber
7,2.2170795329751716,0.34% graphite/EPDM rubber
11,2.364477759474753,0.34% graphite/EPDM rubber
12,4.416841928883853,0.34% graphite/EPDM rubber
18,10.165625182576845,0.34% graphite/EPDM rubber
2,5.953372441579902,0.66% graphite/EPDM rubber
7,5.796307965811774,0.66% graphite/EPDM rubber
11,5.603068115232887,0.66% graphite/EPDM rubber
12,5.598557336735761,0.66% graphite/EPDM rubber
18,5.452719622686873,0.66% graphite/EPDM rubber
2,1.7473268276675122,0.55% graphite/EPDM rubber
7,1.4867637657073605,0.55% graphite/EPDM rubber
11,1.370346728758264,0.55% graphite/EPDM rubber
12,1.3118962473735825,0.55% graphite/EPDM rubber
18,1.181684359062634,0.55% graphite/EPDM rubber
