Ion Beam Dose (Gy),Magnetic Anisotropy (J/m³)
2,3.08838500712535,0.28% Colloidal silica/PA 6(3)T
9,22.576812588625224,0.28% Colloidal silica/PA 6(3)T
14,55.576193868200924,0.28% Colloidal silica/PA 6(3)T
19,597.2823862727514,0.28% Colloidal silica/PA 6(3)T
2,-5.760133591886614,0.65% Colloidal silica/PA 6(3)T
9,-6.268434889634522,0.65% Colloidal silica/PA 6(3)T
14,-6.325006954195743,0.65% Colloidal silica/PA 6(3)T
19,-6.335813080002089,0.65% Colloidal silica/PA 6(3)T
2,-2.9903337618954287,0.98% Colloidal silica/PA 6(3)T
9,-3.4413232263182354,0.98% Colloidal silica/PA 6(3)T
14,-3.5042930519834035,0.98% Colloidal silica/PA 6(3)T
19,-3.516006601987391,0.98% Colloidal silica/PA 6(3)T
