Particle Density,Specific Viscosity
0,1.929242277571093,Lead(II) sulfide/DGEBD
1,1.512127084366058,Lead(II) sulfide/DGEBD
3,3.8762022794962334,Lead(II) sulfide/DGEBD
4,4.564399413054937,Lead(II) sulfide/DGEBD
6,5.141342861333519,Lead(II) sulfide/DGEBD
14,50.012651411736336,Lead(II) sulfide/DGEBD
19,484.2483819674074,Lead(II) sulfide/DGEBD
0,-6.875257135569461,polyaniline/DGEBD
1,-5.97797780096137,polyaniline/DGEBD
3,-4.243386389153943,polyaniline/DGEBD
4,-3.463055693100781,polyaniline/DGEBD
6,-4.645367146799844,polyaniline/DGEBD
14,21.6634587535493,polyaniline/DGEBD
19,11.005442551473903,polyaniline/DGEBD
0,3.7485574758015794,White spirits/DGEBD
1,3.636338483658268,White spirits/DGEBD
3,3.641106997230733,White spirits/DGEBD
4,3.3558168012448846,White spirits/DGEBD
6,3.2489191964785165,White spirits/DGEBD
14,2.936614991406334,White spirits/DGEBD
19,2.8580370533243085,White spirits/DGEBD
0,8.567645842477797,Barium titanate/DGEBD
1,8.646532543848227,Barium titanate/DGEBD
3,8.582058523120967,Barium titanate/DGEBD
4,8.480700015341082,Barium titanate/DGEBD
6,8.37898018301789,Barium titanate/DGEBD
14,8.017069346352672,Barium titanate/DGEBD
19,7.9184797165940966,Barium titanate/DGEBD
