Thickness (µm),Crystallinity (%)
1,-6.2522320548964885,Sodium titanate nanotubes/ABS
9,-6.756370818322669,Sodium titanate nanotubes/ABS
15,-6.931266929498161,Sodium titanate nanotubes/ABS
16,-6.943050743982319,Sodium titanate nanotubes/ABS
18,-6.989218434960206,Sodium titanate nanotubes/ABS
1,-4.769666650354278,Aluminium/ABS
9,-5.358558042893807,Aluminium/ABS
15,-5.414468269963427,Aluminium/ABS
16,-5.417108396930545,Aluminium/ABS
18,-5.420654068784834,Aluminium/ABS
1,-2.013306087628231,ZnO/ABS
9,20.039979707837265,ZnO/ABS
15,292.73761853831365,ZnO/ABS
16,76.03045604355275,ZnO/ABS
18,515.7123709899346,ZnO/ABS
1,5.828231371594455,CaCu3Ti4O12/ABS
9,26.33439056232957,CaCu3Ti4O12/ABS
15,4.587032630861426,CaCu3Ti4O12/ABS
16,240.44925101658546,CaCu3Ti4O12/ABS
18,-74.5694199630227,CaCu3Ti4O12/ABS
