Particle Density,Permittivity
0.38938551175096814,-3.9808763672006022,Cellulose/Poly(benzoxazine)
2.369201115358084,-3.8601457036638136,Cellulose/Poly(benzoxazine)
4.541394462089013,-4.363927109351779,Cellulose/Poly(benzoxazine)
14.633094091401187,-4.7906901740009475,Cellulose/Poly(benzoxazine)
16.803819182512278,-4.839137895532452,Cellulose/Poly(benzoxazine)
17.82632890192151,-4.863246744797714,Cellulose/Poly(benzoxazine)
0.38938551175096814,-2.334523633804763,alumina/Poly(benzoxazine)
2.369201115358084,-1.6683501792465805,alumina/Poly(benzoxazine)
4.541394462089013,-1.3638264582178117,alumina/Poly(benzoxazine)
14.633094091401187,36.94413783544253,alumina/Poly(benzoxazine)
16.803819182512278,46.010210278576835,alumina/Poly(benzoxazine)
17.82632890192151,47.63833535384113,alumina/Poly(benzoxazine)
0.38938551175096814,-1.0998137891541906,silver/Poly(benzoxazine)
2.369201115358084,-1.3342805050783286,silver/Poly(benzoxazine)
4.541394462089013,-1.5173684293689518,silver/Poly(benzoxazine)
14.633094091401187,-1.7709949014123878,silver/Poly(benzoxazine)
16.803819182512278,-1.7759974880382094,silver/Poly(benzoxazine)
17.82632890192151,-1.7781898138427223,silver/Poly(benzoxazine)
0.38938551175096814,7.578993466315868,silver/Poly(benzoxazine)
2.369201115358084,7.138306613417025,silver/Poly(benzoxazine)
4.541394462089013,7.248827298432202,silver/Poly(benzoxazine)
14.633094091401187,6.702857990596178,silver/Poly(benzoxazine)
16.803819182512278,6.6583018906833376,silver/Poly(benzoxazine)
17.82632890192151,6.6368137527592825,silver/Poly(benzoxazine)
