Filler Content (%),Heat Of Crystallization (J/g)
5.480174274817928,-0.7469660875909867,Graphite Nanoplatelets/P(VDF-HFP)
12.496090471789959,1.5815301878913717,Graphite Nanoplatelets/P(VDF-HFP)
13.798290493352706,5.047417391560906,Graphite Nanoplatelets/P(VDF-HFP)
18.249669834168817,2.790083080559187,Graphite Nanoplatelets/P(VDF-HFP)
5.480174274817928,0.02522343748974415, Graphite/P(VDF-HFP)
12.496090471789959,-0.11530075226525797, Graphite/P(VDF-HFP)
13.798290493352706,-0.12370183102299359, Graphite/P(VDF-HFP)
18.249669834168817,-0.1348448452568309, Graphite/P(VDF-HFP)
5.480174274817928,1.9725531152155495,White spirits/P(VDF-HFP)
12.496090471789959,2.943805139606906,White spirits/P(VDF-HFP)
13.798290493352706,1.2228982487814193,White spirits/P(VDF-HFP)
18.249669834168817,14.435569533287609,White spirits/P(VDF-HFP)
5.480174274817928,-2.7219229547523236,SiO2/P(VDF-HFP)
12.496090471789959,-15.651616058969527,SiO2/P(VDF-HFP)
13.798290493352706,94.56982471533163,SiO2/P(VDF-HFP)
18.249669834168817,668.3557401526906,SiO2/P(VDF-HFP)
5.480174274817928,-8.296260543053155,PAN/P(VDF-HFP)
12.496090471789959,24.2373911890668,PAN/P(VDF-HFP)
13.798290493352706,95.62896381904795,PAN/P(VDF-HFP)
18.249669834168817,408.5284103813269,PAN/P(VDF-HFP)
