vol%,Shear Viscosity (Pa·s)
8.333636700058172,10.922799800343444,carbon black/Poly(alpha-methylstyrene)
11.429266021174334,42.43714839197986,carbon black/Poly(alpha-methylstyrene)
12.896873495525096,20.106692703802555,carbon black/Poly(alpha-methylstyrene)
15.125454373332639,154.97268892908068,carbon black/Poly(alpha-methylstyrene)
3.770705082696646,7.463682643863096,Carbon Black/Poly(alpha-methylstyrene)
10.124551948421018,6.924402473048247,Carbon Black/Poly(alpha-methylstyrene)
17.07530280557853,6.770372344441601,Carbon Black/Poly(alpha-methylstyrene)
18.841454851464434,6.756240445052874,Carbon Black/Poly(alpha-methylstyrene)
1,5.1256001600361,Carbon Black/Poly(alpha-methylstyrene)
5,5.862698312156573,Carbon Black/Poly(alpha-methylstyrene)
9,5.581059868520255,Carbon Black/Poly(alpha-methylstyrene)
18,3.5218059068742544,Carbon Black/Poly(alpha-methylstyrene)
0.5355407518414723,-5.901189757298865,Carbon nanofibers/Poly(alpha-methylstyrene)
9.27349177011881,-3.6654062372804086,Carbon nanofibers/Poly(alpha-methylstyrene)
12.471393137199659,-4.952216476202844,Carbon nanofibers/Poly(alpha-methylstyrene)
18.81927998470696,4.278325361439,Carbon nanofibers/Poly(alpha-methylstyrene)
