Thickness (µm),Adhesion Strength (MPa)
3.431139031508421,-2.1625336612495984,0.91% MWCNT
5.002984025896479,-2.0707147478954178,0.91% MWCNT
9.65290163510038,-2.3504186451094613,0.91% MWCNT
3.431139031508421,-3.0126744656552353,0.71% MWCNT
5.002984025896479,-3.1807434564157253,0.71% MWCNT
9.65290163510038,-3.3203265143568776,0.71% MWCNT
3.431139031508421,2.709388244805666,0.69% MWCNT
5.002984025896479,3.3677169166151955,0.69% MWCNT
9.65290163510038,2.9286465899362577,0.69% MWCNT
3.431139031508421,7.62996498545249,0.61% MWCNT
5.002984025896479,7.487581639656772,0.61% MWCNT
9.65290163510038,7.347578435713119,0.61% MWCNT
3.431139031508421,-5.177819295303787,0.09% MWCNT
5.002984025896479,-5.366116650554659,0.09% MWCNT
9.65290163510038,-2.3135508400371414,0.09% MWCNT
