Particle Density,Complex Modulus (Pa)
4,4.664719017788624,polyaniline/PLA
10,4.366262515577282,polyaniline/PLA
12,4.245557395087934,polyaniline/PLA
13,4.2640206510858105,polyaniline/PLA
15,4.195545956154748,polyaniline/PLA
18,4.16107341245748,polyaniline/PLA
4,-0.11898745621558593,Zirconium dioxide/PLA
10,26.069101431864063,Zirconium dioxide/PLA
12,14.081338318987687,Zirconium dioxide/PLA
13,93.9405326250074,Zirconium dioxide/PLA
15,12.626890932566312,Zirconium dioxide/PLA
18,54.470013567955775,Zirconium dioxide/PLA
4,5.1350167879697,Cu(HO3PC6H5)2/PLA
10,4.849173745901821,Cu(HO3PC6H5)2/PLA
12,1.8291628877794146,Cu(HO3PC6H5)2/PLA
13,7.4967049612132985,Cu(HO3PC6H5)2/PLA
15,8.773373500066876,Cu(HO3PC6H5)2/PLA
18,3.747605068673666,Cu(HO3PC6H5)2/PLA
