X-ray Dose (Gy),Electrochemical Potential (V)
0.5257879925079623,-1.5976930758293737,0.95% Paraffin oil/PEO
8.21422796783004,-0.4796284091248122,0.95% Paraffin oil/PEO
10.194155786139913,-1.7709504110643233,0.95% Paraffin oil/PEO
13.010903862594173,-0.027582241093638604,0.95% Paraffin oil/PEO
19.175269794057858,4.792968588434319,0.95% Paraffin oil/PEO
0,3.800795577243141,0.83% Paraffin oil/PEO
4,3.3722746634048506,0.83% Paraffin oil/PEO
9,3.0025118262728556,0.83% Paraffin oil/PEO
11,2.9661586053018594,0.83% Paraffin oil/PEO
13,2.8983244068017457,0.83% Paraffin oil/PEO
