Curing Time (min),Crystallinity (%)
2,-5.856145189985492,Dodecylbenzenesulfonic acid/Poly(glycidyl methacrylate)
3,-5.319747257957047,Dodecylbenzenesulfonic acid/Poly(glycidyl methacrylate)
11,39.099339301828145,Dodecylbenzenesulfonic acid/Poly(glycidyl methacrylate)
12,11.699190810068634,Dodecylbenzenesulfonic acid/Poly(glycidyl methacrylate)
18,200.6024734406932,Dodecylbenzenesulfonic acid/Poly(glycidyl methacrylate)
2,5.981565939584009,titanium dioxide/Poly(glycidyl methacrylate)
3,5.897541641537087,titanium dioxide/Poly(glycidyl methacrylate)
11,5.665101272619893,titanium dioxide/Poly(glycidyl methacrylate)
12,5.613725922963437,titanium dioxide/Poly(glycidyl methacrylate)
18,5.479093617874173,titanium dioxide/Poly(glycidyl methacrylate)
2,-5.681235376907869,MWNTs/Poly(glycidyl methacrylate)
3,-5.59393204203951,MWNTs/Poly(glycidyl methacrylate)
11,-6.094907672492185,MWNTs/Poly(glycidyl methacrylate)
12,-6.103497019106947,MWNTs/Poly(glycidyl methacrylate)
18,-6.220815110925532,MWNTs/Poly(glycidyl methacrylate)
2,-2.9858546133896917,Cu(HO3PC6H5)2/Poly(glycidyl methacrylate)
3,-3.087646474647803,Cu(HO3PC6H5)2/Poly(glycidyl methacrylate)
11,-3.4253146500596405,Cu(HO3PC6H5)2/Poly(glycidyl methacrylate)
12,-3.4579876770928393,Cu(HO3PC6H5)2/Poly(glycidyl methacrylate)
18,-3.5846597385453216,Cu(HO3PC6H5)2/Poly(glycidyl methacrylate)
2,8.147680248648545,Montmorillonite/Poly(glycidyl methacrylate)
3,8.060906218080055,Montmorillonite/Poly(glycidyl methacrylate)
11,7.628381441426258,Montmorillonite/Poly(glycidyl methacrylate)
12,7.60682197489901,Montmorillonite/Poly(glycidyl methacrylate)
18,7.477193493512405,Montmorillonite/Poly(glycidyl methacrylate)
