Holding Time (min),Tensile Modulus (GPa)
1,0.2794727499138363,Polyrotaxane
5,-0.16148589375107392,Polyrotaxane
10,-0.3481609566382832,Polyrotaxane
12,-0.44859078584073353,Polyrotaxane
17,-0.5588178620125215,Polyrotaxane
1,1.670228786598511,PB
5,1.0955278100898682,PB
10,0.8792219089995338,PB
12,0.8552984695507996,PB
17,0.8334559773014569,PB
1,1.4356545677997028,PAN
5,1.0787252569464538,PAN
10,0.8420058681204143,PAN
12,0.8241293095601858,PAN
17,0.8022681239860393,PAN
1,8.80256831011568,TGPAP
5,8.216254282366613,TGPAP
10,8.040542231790365,TGPAP
12,8.004940929739764,TGPAP
17,7.874199134740781,TGPAP
1,6.5844871655019634,BPA-Ph
5,6.257681913465972,BPA-Ph
10,5.9395800047626315,BPA-Ph
12,5.870524807240898,BPA-Ph
17,5.786613001562933,BPA-Ph
