Pore Size (nm),Elongation At Break (%)
8.352771210862933,-6.875484194961769,0.43% single-walled CNT/Poly(butylene)
8.628615522461073,-6.891644074802071,0.43% single-walled CNT/Poly(butylene)
13.458067708275722,-7.093908640410396,0.43% single-walled CNT/Poly(butylene)
14.61838789229234,-7.12653365432301,0.43% single-walled CNT/Poly(butylene)
15.569669310513818,-7.13474791720877,0.43% single-walled CNT/Poly(butylene)
16.653918356465173,-7.170242059329633,0.43% single-walled CNT/Poly(butylene)
8.352771210862933,-0.34895973726856516,0.58% single-walled CNT/Poly(butylene)
8.628615522461073,-0.35315302213220323,0.58% single-walled CNT/Poly(butylene)
13.458067708275722,-0.41544221985508006,0.58% single-walled CNT/Poly(butylene)
14.61838789229234,-0.42090361127305737,0.58% single-walled CNT/Poly(butylene)
15.569669310513818,-0.4246961131313102,0.58% single-walled CNT/Poly(butylene)
16.653918356465173,-0.42762381811650535,0.58% single-walled CNT/Poly(butylene)
8.352771210862933,-3.4961734492169216,0.92% single-walled CNT/Poly(butylene)
8.628615522461073,-3.4902572653378923,0.92% single-walled CNT/Poly(butylene)
13.458067708275722,-3.5573273622236985,0.92% single-walled CNT/Poly(butylene)
14.61838789229234,-3.5633486411667152,0.92% single-walled CNT/Poly(butylene)
15.569669310513818,-3.565148797902744,0.92% single-walled CNT/Poly(butylene)
16.653918356465173,-3.568613243773067,0.92% single-walled CNT/Poly(butylene)
8.352771210862933,-0.011047755293788875,0.84% single-walled CNT/Poly(butylene)
8.628615522461073,-0.26946354485949264,0.84% single-walled CNT/Poly(butylene)
13.458067708275722,-0.3826294826716845,0.84% single-walled CNT/Poly(butylene)
14.61838789229234,8.745224749509978,0.84% single-walled CNT/Poly(butylene)
15.569669310513818,1.5403364274531368,0.84% single-walled CNT/Poly(butylene)
16.653918356465173,-1.3225491236797962,0.84% single-walled CNT/Poly(butylene)
