Polymer Molecular Weight (g/mol),Heat Of Crystallization (J/g)
13.240801375030616,-21.496277325070615,
15.041092885783058,-58.89743160147085,
15.753345153723844,220.2527130738275,
17.7599293259178,157.5443538864745,
19.161962390925883,408.9278978204723,
13.240801375030616,-7.95202823363117,
15.041092885783058,-7.961220151938169,
15.753345153723844,-7.963225244417074,
17.7599293259178,-7.967565594835394,
19.161962390925883,-7.9689355465851275,
13.240801375030616,80.05412829954638,
15.041092885783058,81.97362237561062,
15.753345153723844,210.3998833135609,
17.7599293259178,-202.0950155161358,
19.161962390925883,846.1286908430608,
