Solvent Concentration (M),Dynamic Viscosity (Pa·s)
6,-4.576457872994421,nanosilica/P(BA-a)
12,-4.735739378885741,nanosilica/P(BA-a)
17,-4.753452823738049,nanosilica/P(BA-a)
6,-1.5171770793079797,Thermal black/P(BA-a)
12,1.8344514941363466,Thermal black/P(BA-a)
17,0.3723862311409327,Thermal black/P(BA-a)
6,-5.211295730322136,Fullerene/P(BA-a)
12,-5.480421231114153,Fullerene/P(BA-a)
17,-5.618642571683181,Fullerene/P(BA-a)
6,7.04845828098892,SWCNTs/P(BA-a)
12,82.06347573200088,SWCNTs/P(BA-a)
17,330.5831923830058,SWCNTs/P(BA-a)
6,0.044251025120011,Sepiolite/P(BA-a)
12,-0.30828179514649023,Sepiolite/P(BA-a)
17,-0.43263831022275323,Sepiolite/P(BA-a)
