Synthesis Time (min),Flexural Strength (MPa)
3.5761161727460578,1.9388791214718901,0.82% CCTO ceramics
5.350330430216202,1.7108525033206863,0.82% CCTO ceramics
8.895167759565222,2.8144988118854686,0.82% CCTO ceramics
18.292458085939856,18.29739530311739,0.82% CCTO ceramics
3.5761161727460578,6.898753025377038,1.0% CCTO ceramics
5.350330430216202,6.6351105430346,1.0% CCTO ceramics
8.895167759565222,7.995938518158512,1.0% CCTO ceramics
18.292458085939856,7.7353597533114495,1.0% CCTO ceramics
3.5761161727460578,-4.6654772082860685,0.93% CCTO ceramics
5.350330430216202,-0.9069417658213075,0.93% CCTO ceramics
8.895167759565222,8.233680664442856,0.93% CCTO ceramics
18.292458085939856,250.7882804454573,0.93% CCTO ceramics
