Gamma Radiation Dose (Gy),Tensile Strength (MPa)
2.5213087439854753,0.841692794363772,barium strontium titanate/Poly(acrylonitrile)
6.773898652071029,0.485572291803282,barium strontium titanate/Poly(acrylonitrile)
10.211800011962815,0.3933197171765176,barium strontium titanate/Poly(acrylonitrile)
15.989704542719572,0.36054547359046324,barium strontium titanate/Poly(acrylonitrile)
2.5213087439854753,7.917017363104813,Molybdenum disulfide/Poly(acrylonitrile)
6.773898652071029,7.798059136831858,Molybdenum disulfide/Poly(acrylonitrile)
10.211800011962815,7.712632106034781,Molybdenum disulfide/Poly(acrylonitrile)
15.989704542719572,7.668757208753249,Molybdenum disulfide/Poly(acrylonitrile)
2.5213087439854753,8.585230209158782,BaTiO3/Poly(acrylonitrile)
6.773898652071029,9.741329043106141,BaTiO3/Poly(acrylonitrile)
10.211800011962815,11.522321742709222,BaTiO3/Poly(acrylonitrile)
15.989704542719572,13.887850676601175,BaTiO3/Poly(acrylonitrile)
2.5213087439854753,5.76922997156813,high abrasion furnace black/Poly(acrylonitrile)
6.773898652071029,14.050885604205885,high abrasion furnace black/Poly(acrylonitrile)
10.211800011962815,46.7702642663225,high abrasion furnace black/Poly(acrylonitrile)
15.989704542719572,364.6030581002417,high abrasion furnace black/Poly(acrylonitrile)
