Neutron Flux (n/cm²/s),Zero-shear Viscosity (Pa·s)
0.9651764510605254,7.9560436977667015,0.48% titanium dioxide/Poly(vinyl pyrrolidone)
8.27261378928119,18.49675772329144,0.48% titanium dioxide/Poly(vinyl pyrrolidone)
15.478502239295507,-70.23152144186125,0.48% titanium dioxide/Poly(vinyl pyrrolidone)
0.9651764510605254,-2.3433285626773657,0.47% titanium dioxide/Poly(vinyl pyrrolidone)
8.27261378928119,-2.6265649258220503,0.47% titanium dioxide/Poly(vinyl pyrrolidone)
15.478502239295507,-2.911221482690753,0.47% titanium dioxide/Poly(vinyl pyrrolidone)
0.9651764510605254,-5.063835497460326,0.35% titanium dioxide/Poly(vinyl pyrrolidone)
8.27261378928119,5.3263220803555225,0.35% titanium dioxide/Poly(vinyl pyrrolidone)
15.478502239295507,21.205713215931688,0.35% titanium dioxide/Poly(vinyl pyrrolidone)
0.9651764510605254,-6.376451824208859,0.28% titanium dioxide/Poly(vinyl pyrrolidone)
8.27261378928119,-7.0603230605636496,0.28% titanium dioxide/Poly(vinyl pyrrolidone)
15.478502239295507,-7.2722115524922195,0.28% titanium dioxide/Poly(vinyl pyrrolidone)
0.9651764510605254,4.99283274237906,0.33% titanium dioxide/Poly(vinyl pyrrolidone)
8.27261378928119,6.621602267683441,0.33% titanium dioxide/Poly(vinyl pyrrolidone)
15.478502239295507,7.259526998895385,0.33% titanium dioxide/Poly(vinyl pyrrolidone)
