Dispersing Time (min),Magnetic Susceptibility
1,1.6640806049730592,0.04% OAPS
11,6.862335365920023,0.04% OAPS
14,5.40019551123285,0.04% OAPS
16,-1.6747744450436732,0.04% OAPS
1,8.238626529130322,0.68% OAPS
11,7.58556305874037,0.68% OAPS
14,7.486074446423498,0.68% OAPS
16,7.453460532799477,0.68% OAPS
1,7.049218970745534,0.1% OAPS
11,6.513431901342673,0.1% OAPS
14,6.489027478806548,0.1% OAPS
16,6.481341098390728,0.1% OAPS
1,-4.143224252693669,0.09% OAPS
11,-5.023415458835359,0.09% OAPS
14,-5.113355055470362,0.09% OAPS
16,-5.168645951408953,0.09% OAPS
1,0.02607450638320663,0.91% OAPS
11,0.10184816731035085,0.91% OAPS
14,7.930607998605927,0.91% OAPS
16,15.703418313860114,0.91% OAPS
