Softening Temperature (°C),Degradation Temperature (°C)
1,7.250569711798768,0.35% Barium strontium titanate
5,6.777180040045891,0.35% Barium strontium titanate
14,6.566156141322236,0.35% Barium strontium titanate
15,6.5634804462389935,0.35% Barium strontium titanate
18,6.556957086301146,0.35% Barium strontium titanate
1,8.034444868943378,0.54% Barium strontium titanate
5,10.552259760121663,0.54% Barium strontium titanate
14,89.57956916244035,0.54% Barium strontium titanate
15,287.76267090254584,0.54% Barium strontium titanate
18,398.36110465560824,0.54% Barium strontium titanate
1,2.9948693483871263,0.52% Barium strontium titanate
5,3.9694642333132233,0.52% Barium strontium titanate
14,5.766123400566116,0.52% Barium strontium titanate
15,6.797599372908266,0.52% Barium strontium titanate
18,24.437194666087223,0.52% Barium strontium titanate
1,3.2702276718073495,0.22% Barium strontium titanate
5,3.2154173140655553,0.22% Barium strontium titanate
14,2.7151874998719236,0.22% Barium strontium titanate
15,2.684507151112965,0.22% Barium strontium titanate
18,2.647552473080234,0.22% Barium strontium titanate
