Softening Temperature (°C),Fracture Toughness (MPa·m^0.5)
2,-1.2456073285374798,PR
3,-1.4754302913210853,PR
8,-1.6047616767852755,PR
17,-1.8641964407855798,PR
2,8.449452006934042,Thermoplastic polyurethane
3,9.68871300032946,Thermoplastic polyurethane
8,18.37212667482995,Thermoplastic polyurethane
17,333.77413189772443,Thermoplastic polyurethane
2,-1.4822237545432198,Epoxy novolac viny ester resin
3,-1.724912903886681,Epoxy novolac viny ester resin
8,-2.0402321339391225,Epoxy novolac viny ester resin
17,-2.120129373875832,Epoxy novolac viny ester resin
