Incubation Time (h),Intrinsic Viscosity (dl/g)
3,-7.528312141997924,0.91% Mineral oil
6,-7.655007009566368,0.91% Mineral oil
7,-7.71822892321675,0.91% Mineral oil
16,-7.818489477460622,0.91% Mineral oil
3,6.897015216180771,0.81% Mineral oil
6,6.627274292803604,0.81% Mineral oil
7,6.59393834141514,0.81% Mineral oil
16,6.473091310940155,0.81% Mineral oil
3,0.015915295406147667,0.74% Mineral oil
6,0.893745126365368,0.74% Mineral oil
7,2.450626088443582,0.74% Mineral oil
16,36.04180299879018,0.74% Mineral oil
3,-0.0366279357298403,0.59% Mineral oil
6,-0.20905687484455793,0.59% Mineral oil
7,-0.28514771379625015,0.59% Mineral oil
16,-0.41259004855660947,0.59% Mineral oil
