Frequency (Hz),Flexural Strength (MPa)
7.195444356212257,5.766029548442912,calcium copper titanate/Poly(2-hydroxyethyl methacrylate)
8.751698316811435,5.701189433163811,calcium copper titanate/Poly(2-hydroxyethyl methacrylate)
12.114607501331713,5.639791119123946,calcium copper titanate/Poly(2-hydroxyethyl methacrylate)
17.23973728478277,5.5150538305374255,calcium copper titanate/Poly(2-hydroxyethyl methacrylate)
17.780845496008865,5.496494667645552,calcium copper titanate/Poly(2-hydroxyethyl methacrylate)
7.195444356212257,6.94219138110766,graphene platelet/Poly(2-hydroxyethyl methacrylate)
8.751698316811435,18.58095780516468,graphene platelet/Poly(2-hydroxyethyl methacrylate)
12.114607501331713,80.55737665991771,graphene platelet/Poly(2-hydroxyethyl methacrylate)
17.23973728478277,261.1552737692124,graphene platelet/Poly(2-hydroxyethyl methacrylate)
17.780845496008865,552.0203570510843,graphene platelet/Poly(2-hydroxyethyl methacrylate)
7.195444356212257,3.219131500799164,Paraffinum liquidum/Poly(2-hydroxyethyl methacrylate)
8.751698316811435,3.059765874098948,Paraffinum liquidum/Poly(2-hydroxyethyl methacrylate)
12.114607501331713,2.961860291244278,Paraffinum liquidum/Poly(2-hydroxyethyl methacrylate)
17.23973728478277,2.8357551069421154,Paraffinum liquidum/Poly(2-hydroxyethyl methacrylate)
17.780845496008865,2.8305127879968297,Paraffinum liquidum/Poly(2-hydroxyethyl methacrylate)
