Coefficient Of Thermal Expansion (1/K),Melting Temperature (°C)
3.5916701963293307,-2.1515054771605726,Nylon 11
4.754872686578045,-2.2748521927259024,Nylon 11
17.346627300738508,-2.5007931339545815,Nylon 11
5,5.052407462119738,Poly(alpha-methylstyrene)
10,12.87830551226418,Poly(alpha-methylstyrene)
16,205.33284504527805,Poly(alpha-methylstyrene)
3.120430648217638,5.055904861489734,Poly(methyl acrylate)
7.594933096955221,5.7863140456231115,Poly(methyl acrylate)
19.318012901045442,15.316979355380036,Poly(methyl acrylate)
9.773867938859695,-4.275786504953803,PVC-P
16.09118505464345,-4.318568351738059,PVC-P
16.165696152166745,-4.318511287616961,PVC-P
1,-1.9908237893721168,PLA
13,-2.3672527923377817,PLA
16,-2.432601232684094,PLA
