Storage Time (days),Glass Transition Temperature (°C)
3,2.6350798197507563,0.34% Calcium Carbonate/PTrFE
11,4.981715498466419,0.34% Calcium Carbonate/PTrFE
12,6.00188881219391,0.34% Calcium Carbonate/PTrFE
13,5.640813066656066,0.34% Calcium Carbonate/PTrFE
17,9.075269827179483,0.34% Calcium Carbonate/PTrFE
3,1.6363785970531035,0.26% Calcium Carbonate/PTrFE
11,1.0537072422408018,0.26% Calcium Carbonate/PTrFE
12,1.0052970142429258,0.26% Calcium Carbonate/PTrFE
13,1.0344194686151404,0.26% Calcium Carbonate/PTrFE
17,0.9136305523027812,0.26% Calcium Carbonate/PTrFE
3,6.8752907883147785,0.93% Calcium Carbonate/PTrFE
11,23.0206051166531,0.93% Calcium Carbonate/PTrFE
12,64.80113869141425,0.93% Calcium Carbonate/PTrFE
13,60.68677374353365,0.93% Calcium Carbonate/PTrFE
17,229.13357869702278,0.93% Calcium Carbonate/PTrFE
3,-2.420205162613363,0.74% Calcium Carbonate/PTrFE
11,-2.3945827969660964,0.74% Calcium Carbonate/PTrFE
12,2.921697381970091,0.74% Calcium Carbonate/PTrFE
13,3.687536991082929,0.74% Calcium Carbonate/PTrFE
17,6.150659603169624,0.74% Calcium Carbonate/PTrFE
