Nanoparticle Volume (%),Thermal Conductivity (W/(m·K))
1.376502750684665,7.475948028403311,TPP/DGEBF Epoxy Resin
4.1402014443862845,10.156362781134927,TPP/DGEBF Epoxy Resin
5.8433520180744924,10.56693268607891,TPP/DGEBF Epoxy Resin
6.230517520567432,9.188827404505542,TPP/DGEBF Epoxy Resin
10.046032550040323,26.61162195262713,TPP/DGEBF Epoxy Resin
1.376502750684665,2.3666988481899227,Graphite Nanoplatelets/DGEBF Epoxy Resin
4.1402014443862845,3.691254917957754,Graphite Nanoplatelets/DGEBF Epoxy Resin
5.8433520180744924,10.275277608905023,Graphite Nanoplatelets/DGEBF Epoxy Resin
6.230517520567432,5.543397836387139,Graphite Nanoplatelets/DGEBF Epoxy Resin
10.046032550040323,12.805913286532467,Graphite Nanoplatelets/DGEBF Epoxy Resin
